Station_Name,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),Wind Direction at 3m (°N),Wind Direction at 3m Uncertainty (°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv)),GHI (Wh/m2)
Sharurah - TVTC,17.47586,47.08618,01-05-2017 00:00,34.5,0.5,50,3.7,3.8,0.1,1.9,2866,821.7,876.4,5908.4,1613.6,1774.2,1520,472.4,15.5,0.1,19.9,3,926.6,4.6,7400.9
Sharurah - TVTC,17.47586,47.08618,01-06-2017 00:00,36.3,0.5,38,4,3.3,0.1,1.7,3404.4,1039.4,1084.5,5124.4,1553,2088.1,1527,478.6,17.6,0.1,10.1,3,923.4,4.6,7412.5
Sharurah - TVTC,17.47586,47.08618,01-09-2017 00:00,33.9,0.5,49,4,3.3,0.1,1.7,2007.4,509,439.7,6131.6,1539.6,1130.9,1342.6,336.5,16.3,0.1,14.3,3,925.6,4.6,6528.3
Sharurah - TVTC,17.47586,47.08618,01-10-2017 00:00,29.2,0.5,42,4,3.3,0.1,1.6,1451.7,372.9,404.2,6975.2,1521.3,869.9,1238.6,253.9,13.6,0.1,17.7,3,930.1,4.7,6073.3
Sharurah - TVTC,17.47586,47.08618,01-11-2017 00:00,24.8,0.5,54,4,3.5,0.1,1.4,1092,269,233.9,7020.8,1492,660.1,1090.7,257,11.7,0.1,28.9,3,932.6,4.7,5262.7
Sharurah - TVTC,17.47586,47.08618,01-03-2018 00:00,27.4,0.5,63,4,3.9,0.1,1.7,1905.3,528.5,530.2,7405.5,1683.9,1355.7,1439.6,394.7,17.1,0.1,18,3,930.4,4.7,7122.5
Sharurah - TVTC,17.47586,47.08618,01-04-2018 00:00,31.4,0.5,49,4,4,0.1,1.9,3578.9,931.9,946.5,4034.8,1477.3,1854.9,1415.4,423.5,17.3,0.1,24.4,3,927.5,4.6,6758
Sharurah - TVTC,17.47586,47.08618,01-05-2018 00:00,33.1,0.5,58,4,3.9,0.1,1.9,2861,818.8,874.3,5660,1582.8,1621.4,1469.8,354.7,18.9,0.1,21.8,3,926.2,4.6,7276.2
Sharurah - TVTC,17.47586,47.08618,01-06-2018 00:00,36.2,0.5,27,4,3.6,0.1,2.1,3875.3,993.9,980.1,3752.6,1318.5,1830.7,1415.1,426.3,19.2,0.1,14.7,3,922.9,4.6,6892.3
Sharurah - TVTC,17.47586,47.08618,01-07-2018 00:00,36.8,0.5,335,4,3.8,0.1,2.2,3845.5,897.9,771.3,3268.7,1033.1,1767.6,1377.7,853.8,18.9,0.1,11.9,3,920.8,4.6,6505
Sharurah - TVTC,17.47586,47.08618,01-08-2018 00:00,36.6,0.5,355,4,3.7,0.1,2.2,3350.5,919.1,845.5,4163.6,1190.3,1641.1,1361.1,439.3,20,0.1,15.4,3,921.7,4.6,6688.9
Sharurah - TVTC,17.47586,47.08618,01-09-2018 00:00,34.1,0.5,72,4,3.7,0.1,1.7,1989.3,513.5,386.4,6609,1526,786,1341.7,164.6,15.2,0.1,16.3,3,925.9,4.6,6771.1
Sharurah - TVTC,17.47586,47.08618,01-04-2019 00:00,30.9,0.5,77,4,4,0.1,1.8,3090.8,623.9,889.8,4821.7,1407.1,2195.7,1385.2,850.6,20.3,0.1,23.7,3,928.2,4.7,6784.3
Sharurah - TVTC,17.47586,47.08618,01-05-2019 00:00,33.2,0.5,77,4,3.5,0.1,1.6,2921.6,828.8,862.6,5517.5,1438.8,2060.6,1499.1,833.8,20.5,0.1,23.2,3,927.4,4.6,7180.5
Sharurah - TVTC,17.47586,47.08618,01-06-2019 00:00,36.5,0.5,41,4,3.4,0.1,1.8,3053.4,833.1,829.6,5649.9,1620.3,1718,1535.9,492.3,16.8,0.1,13.7,3,923.2,4.6,7425.5
Sharurah - TVTC,17.47586,47.08618,01-07-2019 00:00,37.3,0.5,21,4,3.6,0.1,1.9,3780.9,312.2,777.9,4164.7,409.6,1542.4,457.6,448.2,19.7,0.1,15.3,3,920.5,4.6,7131.2
Sharurah - TVTC,17.47586,47.08618,01-08-2019 00:00,36.3,0.5,358,4,3.9,0.1,2.3,3195.1,260,875.7,4911.8,439.6,2128.2,448.5,901.6,18.7,0.1,15.6,3,922.3,4.6,6987.6
Sharurah - TVTC,17.47586,47.08618,01-09-2019 00:00,34.7,0.5,42,3.7,3.8,0.1,1.8,2555.1,194.6,568.2,5726.3,479.1,1394,443.4,453.4,17.9,0.1,19.3,3,924.7,4.6,6840.7
Sharurah - TVTC,17.47586,47.08618,01-10-2019 00:00,30.5,0.5,62,4,3.7,0.1,1.5,1531.1,138.2,430.5,7635.1,486.8,1027.5,417.6,256.8,13.9,0.1,20.7,3,929.3,4.7,6614.2
Sharurah - TVTC,17.47586,47.08618,01-11-2019 00:00,24.5,0.5,56,4,3.8,0.1,1.5,1426.3,138.4,385.4,6870.4,500.4,2037.3,361.2,1031.7,13.6,0.1,36.2,3,932.1,4.7,5571.5
Sharurah - TVTC,17.47586,47.08618,01-12-2019 00:00,22,0.5,62,4,3.5,0.1,1.4,1168.4,111.8,392.8,7408.1,519.2,1799.6,333.1,642.9,13.6,0.1,37.8,3,933.1,4.7,5309.2
Sharurah - TVTC,17.47586,47.08618,01-01-2020 00:00,19.9,0.5,52,4,3.4,0.1,1.6,1640.6,556.6,753.5,6715.3,1763.6,2138.8,1180,516.1,14.9,0.1,34.4,3,933.8,4.7,5578.3
Sharurah - TVTC,17.47586,47.08618,01-02-2020 00:00,23.6,0.5,62,4,3.9,0.1,1.6,2103.2,810.1,1053.7,6297.3,1793.2,2533.2,1349.4,660.2,16.3,0.1,23.6,3,932.7,4.7,6153.8
Sharurah - TVTC,17.47586,47.08618,01-03-2020 00:00,26.9,0.5,61,4,4.2,0.1,1.9,3186.7,926.5,903.4,4887.2,1385.9,1830.6,1432,500.3,32.5,0.1,26.1,3,929.2,4.7,6779.9
Sharurah - TVTC,17.47586,47.08618,01-04-2020 00:00,31.1,0.5,137,4,3.8,0.1,2,2729.7,773.5,833.4,5737.1,1579.1,2071.7,1535.9,944.3,20.3,0.1,34.4,3,927.9,4.7,7098.2
Sharurah - TVTC,17.47586,47.08618,01-05-2020 00:00,34.6,0.5,56,4,3.7,0.1,1.8,2767.2,750.7,816.9,6153.8,1667.9,1580.5,1510.2,297.8,21.9,0.1,19.4,3,927,4.6,7522.2
Sharurah - TVTC,17.47586,47.08618,01-09-2020 00:00,33.4,0.5,42,4,3.3,0.1,1.7,1963.5,538.9,635.8,7390.4,1694.3,1272.4,1464.5,222.9,14.7,0.1,15.2,3,925.1,4.6,7309.1
Sharurah - TVTC,17.47586,47.08618,01-10-2020 00:00,27.6,0.5,35,4,2.8,0.1,1.7,1365,361.4,313.7,8286.2,1775.4,824,1376.5,255.1,18.4,0.1,17.3,3,930.4,4.7,6800.6
Sharurah - TVTC,17.47586,47.08618,01-11-2020 00:00,25.1,0.5,56,4,3.2,0.1,1.5,1054.2,232.8,161.8,8351,1790.3,596,1266.3,334.3,11.5,0.1,26.4,3,932.6,4.7,5977.3
Sharurah - TVTC,17.47586,47.08618,01-12-2020 00:00,21.2,0.5,58,4,3.3,0.1,1.6,1098.5,272.8,325.4,7951,1717.4,839.1,1089.6,129.5,13.9,0.1,35.8,3,934.1,4.7,5510.5
Sharurah - TVTC,17.47586,47.08618,01-01-2021 00:00,19.8,0.5,54,4,3.2,0.1,1.4,1163.1,274.2,530.5,8247.4,1832.5,1315.5,1217.1,318.8,14.1,0.1,26.6,3,934.3,4.7,5912.8
Sharurah - TVTC,17.47586,47.08618,01-02-2021 00:00,22.9,0.5,52,4,3.8,0.1,1.6,1854.5,651.1,819.1,6918.3,1790.5,2282.7,1299.1,707.1,14.7,0.1,25.7,3,932.3,4.7,6299.1
Sharurah - TVTC,17.47586,47.08618,01-03-2021 00:00,27.7,0.5,99,4,3.6,0.1,1.4,1970.8,691.2,844.8,7876.3,1856.1,1674.8,1497.6,321.5,16.5,0.1,16.1,3,930.2,4.7,7471.9
Sharurah - TVTC,17.47586,47.08618,01-04-2021 00:00,30.1,0.5,75,3.7,3.7,0.1,1.6,2565.5,718,742.1,6611.2,1719,1550.4,1559.2,499.9,17.9,0.1,19.5,3,929,4.6,7598.6
Sharurah - TVTC,17.47586,47.08618,01-05-2021 00:00,34.4,0.5,86,3.7,3.6,0.1,1.7,2769.7,747.3,753.6,6458.4,1594,1785.8,1558.6,548.2,16.3,0.1,13.7,3,925.9,4.6,7702.5
Sharurah - TVTC,17.47586,47.08618,01-07-2021 00:00,34.9,0.5,210,4,4.1,0.1,2.6,3336.1,917.5,803.4,4290,1462.8,2453.2,1529.8,1404.5,26.4,0.1,27.5,3,920.1,4.6,6678.1
Sharurah - TVTC,17.47586,47.08618,01-08-2021 00:00,36.7,0.5,40,4,4.1,0.1,2,3060.8,270.1,909.8,5235.1,411,1800.2,443.5,444,19.5,0.1,17.9,3,922,4.6,7125.3
Sharurah - TVTC,17.47586,47.08618,01-09-2021 00:00,34,0.5,29,4,3.4,0.1,1.6,2545.6,730.5,623.3,6044.4,1630.1,1347.5,1422.1,319.7,13.9,0.1,15.1,3,924.5,4.6,7019.1
Sharurah - TVTC,17.47586,47.08618,01-10-2021 00:00,29.9,0.5,46,4,3.3,0.1,1.9,1702.3,154.5,599.8,7160,569.3,1584.4,431.9,432.1,16.3,0.1,21.6,3,929.7,4.7,6476.5
Sharurah - TVTC,17.47586,47.08618,01-11-2021 00:00,25.1,0.5,56,4,3.1,0.1,1.5,1249.5,85.1,148.3,7711.1,488.9,433.5,359.9,250.4,12,0.1,24.9,3,932.5,4.7,5876.1
Sharurah - TVTC,17.47586,47.08618,01-12-2021 00:00,21,0.5,53,4,2.5,0.1,1.5,1039.4,88.9,498.9,8066.4,535.6,1637.1,332.5,377,10.4,0.1,32.6,3,933.9,4.7,5491.3
Layla - TVTC,22.27948,46.73319,01-01-2017 00:00,18.6,0.5,75,4,2.3,0,1.3,1507.6,425,511.1,6091.5,1251.5,1386,999.2,218.7,10.1,0.1,32.7,3,954.8,4.8,4876.1
Layla - TVTC,22.27948,46.73319,01-02-2017 00:00,16.9,0.5,56,4,2.5,0.1,1.5,2531.8,668,600.3,3249.8,1191.5,2091.5,1082.7,1159.6,14.1,0.1,44.6,3,955.1,4.8,4616.1
Layla - TVTC,22.27948,46.73319,01-03-2017 00:00,24.2,0.5,61,4,2.9,0.1,1.5,2994.1,804.8,740.4,3519.2,1147,1876.9,1235.8,923.8,22.9,0.1,42.2,3,949.9,4.8,5561.4
Layla - TVTC,22.27948,46.73319,01-04-2017 00:00,30.7,0.5,76,4,2.5,0.1,1.4,2940.1,781.7,688.2,5645.8,1551.2,1839.6,1533.2,708.7,12.8,0.1,18.9,3,949.4,4.8,7234.4
Layla - TVTC,22.27948,46.73319,01-05-2017 00:00,35.5,0.5,60,4,2.4,0,1.3,3519,900.1,884,4607.1,1456,1935.9,1498.9,684.8,18.9,0.1,17.6,3,946.3,4.7,7183.5
Layla - TVTC,22.27948,46.73319,01-06-2017 00:00,37.8,0.5,22,4,2.7,0.1,1.3,3129.9,994.7,1013.7,5882.6,1680.2,1973,1574.6,419,14.7,0.1,9.8,3,942.4,4.7,7708.1
Layla - TVTC,22.27948,46.73319,01-09-2017 00:00,35.2,0.5,31,4,2.3,0,1.1,2113.6,204.3,335.5,6908.4,527.1,960.7,597.2,342.4,12.5,0.1,12,3,945.2,4.7,7081.8
Layla - TVTC,22.27948,46.73319,01-10-2017 00:00,30.2,0.5,51,3.7,2.1,0,1,1599.1,124.4,327.1,7406.4,490.3,716,413.4,255,10.4,0.1,17.5,3,950.2,4.7,6346.5
Layla - TVTC,22.27948,46.73319,01-11-2017 00:00,23.5,0.5,85,4,2,0,1.1,1532.9,177.1,493.5,6449.1,457.4,1488.6,337,458.7,10.4,0.1,33,3,953.4,4.8,5221.3
Layla - TVTC,22.27948,46.73319,01-03-2018 00:00,25.9,0.5,93,4,2.6,0.1,1.3,2424.9,238.5,811.4,6159.7,679,2336.8,526.2,976.7,14.1,0.1,22.2,3,950.9,4.8,6698.7
Layla - TVTC,22.27948,46.73319,01-04-2018 00:00,28.6,0.5,84,4,3.1,0.1,1.5,3720.5,294.7,823.2,3832.4,445,1472,482.2,627.6,16,0.1,30.9,3,948,4.8,6787.2
Layla - TVTC,22.27948,46.73319,01-05-2018 00:00,33.3,0.5,70,4,2.8,0.1,1.4,3444.5,302.4,882.8,5047,496.7,1877.1,515.3,874.5,13.1,0.1,17.9,3,946.1,4.7,7406.8
Layla - TVTC,22.27948,46.73319,01-06-2018 00:00,37.8,0.5,13,4,2.6,0.1,1.4,3746.8,302.7,913.9,4811.7,506.8,1799.8,520.5,446.4,13.3,0.1,12.2,3,941.7,4.7,7584.6
Layla - TVTC,22.27948,46.73319,01-07-2018 00:00,38.9,0.5,350,3.7,2.7,0.1,1.2,3551.7,275.9,701.9,4934.3,478,1442.4,549,417.5,13.9,0.1,10.9,3,939,4.7,7466
Layla - TVTC,22.27948,46.73319,01-08-2018 00:00,38,0.5,19,4,2.8,0.1,1.2,3072.9,253.6,894.4,5420.4,506.2,1587.4,496,315.9,12.3,0.1,13.1,3,940.5,4.7,7273.2
Layla - TVTC,22.27948,46.73319,01-09-2018 00:00,36,0.5,39,4,2.4,0,1.3,2311.1,179.4,351.3,6303.5,522.7,839.8,474.7,277.1,13.3,0.1,14.7,3,945.1,4.7,6883.2
Layla - TVTC,22.27948,46.73319,01-10-2018 00:00,29.4,0.5,59,4,2.3,0,1.2,1934.9,164.3,531.1,6075.4,553.3,1690.9,449.7,610.6,13.3,0.1,29.1,3,951.2,4.8,5925
Layla - TVTC,22.27948,46.73319,01-11-2018 00:00,23.6,0.5,82,3.9,2.7,0.1,1.3,1932,182.4,575.5,4908.4,509.3,1698.9,393.7,523.3,14.1,0.1,41.1,3,953.2,4.7,4780.8
Layla - TVTC,22.27948,46.73319,01-12-2018 00:00,19,0.5,73,3.7,2.2,0,1.1,1472.6,138.6,390.9,6052,536.7,1288.7,344.4,262,11.2,0.1,45.1,3,955.5,4.7,4692
Layla - TVTC,22.27948,46.73319,01-01-2019 00:00,18.4,0.5,101,4,2.5,0.1,1.4,2151.3,199.7,697.1,4667.5,511.5,1952.5,335.7,490,14.9,0.1,34.2,3,955.3,4.8,4759.5
Layla - TVTC,22.27948,46.73319,01-02-2019 00:00,19.4,0.5,60,4,2.8,0.1,1.5,2465.4,216.9,695.6,4623.9,443.2,1938.2,361.2,674.7,14.4,0.1,32.3,3,953.5,4.8,5422.8
Layla - TVTC,22.27948,46.73319,01-03-2019 00:00,22.9,0.5,63,4,2.7,0,1.2,3166.7,254.1,837,4375.8,418.5,2171.9,408.8,894.8,14.1,0.1,24.4,3,950.8,4.8,6304.4
Layla - TVTC,22.27948,46.73319,01-04-2019 00:00,27.4,0.5,57,4,2.4,0.1,1.8,3325.2,644.6,934.1,4240.9,932.4,2226.2,1227.1,913.4,22.9,0.1,33.1,3,949,4.8,6610.5
Layla - TVTC,22.27948,46.73319,01-05-2019 00:00,33.6,0.5,45,4,2.4,0,1.3,3436.5,880.5,773.5,4137.9,1442.9,2201.3,1500.1,1007.8,15.7,0.1,20.8,3,947,4.7,6704.8
Layla - TVTC,22.27948,46.73319,01-06-2019 00:00,38.1,0.5,25,4,2.4,0.1,1.3,2893.3,774.2,747.8,5815.2,1601.5,1818.1,1533.2,641.3,14.7,0.1,11.8,3,942.6,4.7,7413.6
Layla - TVTC,22.27948,46.73319,01-07-2019 00:00,38.7,0.5,14,4,2.7,0.1,1.5,3026.4,313.4,740.5,5803,499.7,1641.3,504.1,521.4,17.1,0.1,11.6,3,939.5,4.7,7562.4
Layla - TVTC,22.27948,46.73319,01-08-2019 00:00,38,0.5,355,4,2.3,0,1.2,2532.8,218.2,658.2,6574.1,475.3,1364.7,529.5,356.5,13.6,0.1,12.1,3,941,4.7,7529.1
Layla - TVTC,22.27948,46.73319,01-09-2019 00:00,35.5,0.5,41,4,2.4,0,1.3,2127.3,172.4,459.1,6621.3,467.8,999.9,438.1,329.4,13.3,0.1,16.9,3,944.7,4.7,6903.7
Layla - TVTC,22.27948,46.73319,01-10-2019 00:00,30.9,0.5,82,4,2,0,1.1,1746.7,131.2,386.1,6659.7,445.5,945.7,377.7,224.7,10.7,0.1,21.8,3,949.6,4.8,6062.9
Layla - TVTC,22.27948,46.73319,01-11-2019 00:00,22.7,0.5,95,4.1,2,0,1.1,1723.7,161.2,528.3,5485,428.7,1813,334,613.4,11.5,0.1,41.9,3.1,953.3,4.9,4899.4
Layla - TVTC,22.27948,46.73319,01-12-2019 00:00,18.8,0.5,59,4,2.3,0,1.2,1374.2,138.5,591.1,5895.9,525.9,2638.5,303.1,822.1,10.1,0.1,43.1,3,954.4,4.8,4472.2
Layla - TVTC,22.27948,46.73319,01-01-2020 00:00,16.3,0.5,43,4,2.4,0,1.3,1473.9,543,626.9,6498.5,1688.9,1898.1,1094.2,488,12.3,0.1,35.5,3,955.1,4.8,5040.7
Layla - TVTC,22.27948,46.73319,01-02-2020 00:00,19.8,0.5,75,4,2.6,0,1.4,2383.7,687.3,796.2,5143.7,1550.4,1970.4,1225.7,540.6,12.8,0.1,25.9,3,954.4,4.8,5617.1
Layla - TVTC,22.27948,46.73319,01-03-2020 00:00,24.3,0.5,84,4,2.6,0.1,1.4,3107.7,830.2,769.3,4811.8,1363.1,1897.9,1382.9,755.1,13.6,0.1,23.7,3,949.9,4.8,6578.6
Layla - TVTC,22.27948,46.73319,01-04-2020 00:00,29.2,0.5,97,4,2.7,0.1,1.6,3371.3,876.1,630.3,4290.1,1271.4,1827.6,1455.5,1010.4,14.7,0.1,34.9,3,948,4.8,6680.1
Layla - TVTC,22.27948,46.73319,01-05-2020 00:00,34.1,0.5,44,4,2.6,0.1,1.4,3319.9,846.5,723.2,5199.9,1424.9,1819.7,1541.2,748.8,14.1,0.1,16.1,3,946.8,4.7,7397.1
Layla - TVTC,22.27948,46.73319,01-09-2020 00:00,35,0.5,34,4,2.2,0,1.1,2071.4,584.7,555.9,6883.4,1593.6,1138.1,1433.6,254.4,13.6,0.1,14.4,3,944.7,4.7,7018.5
Layla - TVTC,22.27948,46.73319,01-10-2020 00:00,28,0.5,16,4,2.2,0,0.9,1289.4,321.7,242.6,8065.7,1662.5,538.7,1296.1,281.2,11.5,0.1,17,3,950.6,4.8,6364.6
Layla - TVTC,22.27948,46.73319,01-11-2020 00:00,23.2,0.5,105,4,2,0,1.1,1265,448.3,430.6,6865.6,1603.6,1960.5,1115,791.2,9.3,0.1,34.8,3,953.5,4.8,5140.4
Layla - TVTC,22.27948,46.73319,01-12-2020 00:00,18,0.5,71,4,2.3,0,1.1,1407.7,444.1,540.2,6100.6,1528.9,1769.2,960.4,400.2,10.1,0.1,44,3,955.6,4.8,4621.5
Layla - TVTC,22.27948,46.73319,01-01-2021 00:00,17.1,0.5,65,4,2.1,0,1.3,1504.9,428.6,515,6045.3,1540.1,1964.9,1052,697.1,11.7,0.1,36.7,3,955.8,4.8,4847.6
Layla - TVTC,22.27948,46.73319,01-02-2021 00:00,19.6,0.5,52,4,2.6,0.1,1.4,1881.4,682,803.6,6161,1668.8,2185.3,1207.9,506.1,11.5,0.1,31.9,3,953.9,4.8,5678.9
Layla - TVTC,22.27948,46.73319,01-03-2021 00:00,25.6,0.5,73,3.7,2.7,0.1,1.6,2776.8,802.5,843.6,5583.3,1517.9,2005.7,1420.6,693.1,12.8,0.1,18.4,3,950.8,4.7,6715.8
Layla - TVTC,22.27948,46.73319,01-04-2021 00:00,29.8,0.5,59,4,2.3,0.1,1.6,2991,834.4,715,5516,1581.5,2243.2,1559.4,1080.9,15.7,0.1,15.4,3,949.1,4.8,7200
Layla - TVTC,22.27948,46.73319,01-05-2021 00:00,35.3,0.5,80,3.7,2.1,0,1.3,2868.5,672.7,488.6,6453.2,1498.1,946.5,1570,194.9,15.7,0.1,11.3,3,944.8,4.7,7908.5
Layla - TVTC,22.27948,46.73319,01-07-2021 00:00,37.9,0.5,28,3.7,2.4,0,1.4,3041.2,762.6,701,5476.1,1490.4,1974.6,1555.9,1029.8,14.4,0.1,22,3,938.4,4.7,7298.5
Layla - TVTC,22.27948,46.73319,01-08-2021 00:00,38.3,0.5,40,4,2.5,0.1,1.4,2865.8,234.5,607.4,5796.8,414.1,1189,445.6,325.1,16,0.1,14.4,3,941.1,4.7,7328.8
Layla - TVTC,22.27948,46.73319,01-09-2021 00:00,34.3,0.5,15,4,2.5,0.1,1.4,2223,549.3,540.2,6629.5,1582.8,1139,1415.4,270,14.1,0.1,14.4,3,944.2,4.7,7008.4
Layla - TVTC,22.27948,46.73319,01-10-2021 00:00,30.4,0.5,44,4,2.3,0,1.2,1722.3,154.8,352.3,6798.2,446.5,792.6,394.3,325.2,10.9,0.1,20.8,3,950,4.8,6124.2
Layla - TVTC,22.27948,46.73319,01-11-2021 00:00,24,0.5,69,4,1.9,0,1.2,1438.3,102.7,222.3,6557.9,448.8,737,330.7,311.4,9.9,0.1,28.4,3,953.1,4.8,5205.4
Layla - TVTC,22.27948,46.73319,01-12-2021 00:00,18.4,0.5,62,4,1.7,0,1.4,1425.4,117.8,431,6196,459.6,1464.5,293.8,315,10.7,0.1,37.4,3,955.3,4.8,4724.3
Osfan - KAU,21.89252,39.2539,01-01-2017 00:00,24.4,0.5,8,4,2.9,0.1,1.6,1567.1,390.4,333.4,4919.9,1124.3,1277.4,884.2,437.2,13.1,0.1,71.7,3,1001.7,5,4327
Osfan - KAU,21.89252,39.2539,01-02-2017 00:00,23.8,0.5,21,4,3.9,0.1,1.9,2375.4,571.5,622,3136,1436.5,2355.8,1110.3,1156.5,16.8,0.1,54.7,3,1001.3,5,4364.7
Osfan - KAU,21.89252,39.2539,01-03-2017 00:00,25.9,0.5,357,4,3.6,0.1,1.8,2671.2,761.4,802,4086.5,1285.7,2153.9,1247.8,838.2,12.5,0.1,64,3,997.8,5,5568.6
Osfan - KAU,21.89252,39.2539,01-04-2017 00:00,30.2,0.5,344,4,3.8,0.1,2.1,2994.4,690.9,507.6,4025.6,1243.3,1233,1277.3,477.3,18.4,0.1,53.4,3,996.6,5,6123.2
Osfan - KAU,21.89252,39.2539,01-05-2017 00:00,32.7,0.5,354,4,3.6,0.1,1.8,2983.5,716.5,527.6,4517.1,1189.6,1411.3,1369.3,646.8,16.5,0.1,49.6,3,995.2,5,6547.2
Osfan - KAU,21.89252,39.2539,01-10-2017 00:00,30.6,0.5,352,4,2.7,0.1,1.4,1764.7,117.5,209.3,5868.9,393.1,659.1,349.7,337.8,11.5,0.1,72.4,3,996.7,5,5653.9
Osfan - KAU,21.89252,39.2539,01-11-2017 00:00,28.1,0.5,5,4,3,0.1,1.5,1781.3,132.6,346.1,4614.5,357.4,1320.3,290,510.9,15.2,0.1,69.8,3,999.3,5,4491.7
Osfan - KAU,21.89252,39.2539,01-03-2018 00:00,28.2,0.5,341,4,3.2,0.1,1.9,2231.4,213.3,725.3,6115,483.7,1728.9,415.4,463.5,17.3,0.1,49.9,3,997.8,5,6460.5
Osfan - KAU,21.89252,39.2539,01-04-2018 00:00,29.4,0.5,358,4,3.2,0.1,1.7,2679.4,225.5,694.3,5946.1,540.2,1599.6,476,483.7,14.4,0.1,46.2,3,995.7,5,7129.6
Osfan - KAU,21.89252,39.2539,01-05-2018 00:00,33.3,0.5,340,4,3.7,0.1,2.1,3148.5,255.3,789.9,5293.3,495.4,1617.9,466.3,372.4,18.9,0.1,39.5,3,993.8,5,7282
Osfan - KAU,21.89252,39.2539,01-06-2018 00:00,33.9,0.5,342,4,3.3,0.1,1.8,3114.1,245.7,857.3,5273.3,532,1919.5,468.8,521,17.1,0.1,46.5,3,991.6,5,7254
Osfan - KAU,21.89252,39.2539,01-07-2018 00:00,34.7,0.5,337,4,3,0.1,1.4,2931.9,224.3,649,5391.5,504.9,1381.4,520.5,302.7,12.5,0.1,44.5,3,991.7,5,7178.2
Osfan - KAU,21.89252,39.2539,01-08-2018 00:00,34.5,0.5,340,4,3.2,0.1,1.6,2527.4,203.6,563.8,5710.6,463.8,1272.5,440.1,350.4,14.4,0.1,51,3,992,5,6917.8
Osfan - KAU,21.89252,39.2539,01-09-2018 00:00,33.7,0.5,290,4,2.9,0.1,1.9,3098.6,231.9,455.2,3795.7,295.6,903.1,378.8,262.2,19.2,0.1,64.1,3,993.4,5,6019.8
Osfan - KAU,21.89252,39.2539,01-10-2018 00:00,31.5,0.5,342,3.7,2.7,0.1,1.9,2130.2,158.9,432.3,4637.2,384.7,1737.3,359.1,1082.6,20,0.1,59.5,3,997.4,5,5231
Osfan - KAU,21.89252,39.2539,01-11-2018 00:00,27.7,0.5,36,3.7,3.1,0.1,1.8,1787.2,143.2,454.7,4049,469.3,2004.3,314.3,998.4,17.6,0.1,56,3,999.3,5,4096.6
Osfan - KAU,21.89252,39.2539,01-12-2018 00:00,25.3,0.5,17,3.7,3,0.1,1.8,1781.4,158.6,520,4062.4,518.9,2282.4,294.3,746.2,14.7,0.1,62.7,3,1001.6,5,3975.6
Osfan - KAU,21.89252,39.2539,01-01-2019 00:00,24.7,0.5,13,3.7,3.2,0.1,2,2080.9,151.5,494.6,3446.8,375.3,2009.5,300.7,887.5,18.1,0.1,64.3,3,1001.7,5,4045.3
Osfan - KAU,21.89252,39.2539,01-02-2019 00:00,24.5,0.5,16,4,3.7,0.1,2.2,2226.6,184.8,669.8,4016,502.2,2586.3,369.8,1147.2,16.3,0.1,54.3,3,1000.8,5,4778
Osfan - KAU,21.89252,39.2539,01-03-2019 00:00,24.9,0.5,14,4,4,0.1,2,2396.7,199.9,763.6,5632.6,513.3,2326.1,412.3,969.8,16.8,0.1,51.1,3,999.6,5,6251.3
Osfan - KAU,21.89252,39.2539,01-04-2019 00:00,28.4,0.5,358,4,3.6,0.1,1.9,2699.6,725.7,1103.4,5723.3,1289.2,2554.2,1204.2,646.6,16,0.1,48.7,3,996.9,5,6915.2
Osfan - KAU,21.89252,39.2539,01-05-2019 00:00,33.6,0.5,337,4,3.1,0.1,1.6,2870.1,695.4,493.7,5217.8,1202.9,1003.5,1404,270.2,14.4,0.1,41.3,3,994.8,4.9,6965.7
Osfan - KAU,21.89252,39.2539,01-06-2019 00:00,35,0.5,358,4,3.7,0.1,1.9,3122,787.9,494.4,4851,1270.4,1333.7,1464.5,576.5,23.2,0.1,43,3,992.2,5,7003.8
Osfan - KAU,21.89252,39.2539,01-07-2019 00:00,34.6,0.5,353,4,3.2,0.1,1.7,2705,254.7,721.8,5875.9,497.2,1516.3,450.1,363.3,14.1,0.1,45.7,3,990.9,5,7240.6
Osfan - KAU,21.89252,39.2539,01-08-2019 00:00,34.4,0.5,319,4,3.3,0.1,1.8,2505.4,189.3,494.2,5849.7,400.1,1112.1,435.1,374.6,14.9,0.1,51.7,3,992.6,5,6971
Osfan - KAU,21.89252,39.2539,01-09-2019 00:00,32.9,0.5,340,4,3,0.1,1.8,2592.7,191.4,467.2,4759.2,359.1,1085.8,390.2,391.3,15.2,0.1,61.5,3,992.8,4.9,6188.8
