Solar Resource Report for King Abdullah City for Atomic and Renewable Energy
Abha Technical Institute Station
Selected Range: Jan 2017 to Dec 2021
Available Data within Range is Provided Below

Prepared By: King Abdullah City for Atomic and Renewable Energy
As part of the Renewable Resource Monitoring and Mapping (RRMM) Program

http://rratlas.kacare.gov.sa

Site,Latitude,Longitude,Date,Air Temperature (C°),Air Temperature Uncertainty (C°),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv))
Abha - TVTC,18.2227,42.546,01/01/2020 00:00:00,12.5,0.5,1263.9,134.7,610.2,6037.5,527.6,3247.9,4750.1,347.7,1431.7,69.1,3,787.9,3.9
Abha - TVTC,18.2227,42.546,01/02/2020 00:00:00,15.2,0.5,1691,154.6,602.5,6078.1,525.6,2361.8,5627.8,387.8,1259.8,62.4,3,788.3,3.9
Abha - TVTC,18.2227,42.546,01/03/2020 00:00:00,16.3,0.5,2048.5,190.2,694.9,5975.5,490.1,2599.5,6294.4,433.2,1445.7,63.6,3,786.6,3.9
Abha - TVTC,18.2227,42.546,01/04/2020 00:00:00,18.7,0.5,1910.2,166.4,607.7,6845.4,530.1,2269.4,6954.9,445.9,1290.7,62.4,3,787.3,3.9
Abha - TVTC,18.2227,42.546,01/05/2020 00:00:00,21,0.5,2278.9,173.4,547.3,5216.7,414.8,1874.1,6304,433.4,1068.4,51.6,3,788,3.9
Abha - TVTC,18.2227,42.546,01/09/2020 00:00:00,21.5,0.5,1797.9,550,552.1,6804.4,1790.7,1845.7,6744.3,1532.2,879.4,14.2,2.9,786.7,3.9
Abha - TVTC,18.2227,42.546,01/10/2020 00:00:00,18.4,0.5,1118.5,84.5,286.3,8240.9,534.7,1095.4,6500,399.5,501,31,3,788,3.9
Abha - TVTC,18.2227,42.546,01/11/2020 00:00:00,16.1,0.5,1234.6,193.9,544,,,,5383.9,4375.3,987.6,35.6,3,788.7,3.9
Abha - TVTC,18.2227,42.546,01/12/2020 00:00:00,14.3,0.5,1006.5,93.2,337.6,7426.1,509.9,1454.5,5140.5,318,510.2,66.8,3,788,3.9
Abha - TVTC,18.2227,42.546,01/01/2021 00:00:00,13.3,0.5,1150.7,121,452.4,7214.8,529,2221.3,5275,349.9,955.7,62.1,3,787.5,3.9
Abha - TVTC,18.2227,42.546,01/02/2021 00:00:00,14.2,0.5,1506,147.4,601.1,6171.6,502.2,2651.9,5486.7,378.4,1270.5,62.5,3,787.2,3.9
Abha - TVTC,18.2227,42.546,01/03/2021 00:00:00,17.9,0.5,1630.9,171,575.4,7741.3,518.9,1142.3,7087.4,428.4,341.7,51.1,3,787.3,3.9
Abha - TVTC,18.2227,42.546,01/04/2021 00:00:00,18.1,0.5,2198.2,285,609,5601.7,1755.7,2408.8,6403,1597.8,1346.4,22.1,3,787.9,4
Abha - TVTC,18.2227,42.546,01/05/2021 00:00:00,21.7,0.5,2545.6,195.1,586.1,5141.1,461.3,2240.2,6428.9,446.5,1123.7,42,3,787,3.9
Abha - TVTC,18.2227,42.546,01/07/2021 00:00:00,21.6,0.5,2950.6,652.1,426.2,3389.5,1034,1592.1,5610.6,1258.1,1141.2,25.9,3,784.4,3.9
Abha - TVTC,18.2227,42.546,01/08/2021 00:00:00,23,0.5,2774.9,201.6,535.6,4063.1,385.8,1376.8,5888.3,424.3,866,46.7,3,785.3,3.9
Abha - TVTC,18.2227,42.546,01/09/2021 00:00:00,21.9,0.5,2501,220.3,667.7,4728.9,430.7,1859.9,5963.5,422.9,847,39.3,3,786,3.9
Abha - TVTC,18.2227,42.546,01/10/2021 00:00:00,19.6,0.5,1480.6,132.9,534,6942.9,531.3,1925.4,6096.8,396.8,682.6,36.5,3,788.2,3.9
Abha - TVTC,18.2227,42.546,01/11/2021 00:00:00,16.2,0.5,1103.8,100.7,353.9,7502.6,518.5,1189.2,5576.6,367.3,384.3,52.3,3,788.1,3.9
Abha - TVTC,18.2227,42.546,01/12/2021 00:00:00,14.3,0.5,934.3,99.5,404.6,7762,574.9,2103,5192,332.1,746.3,51,3,788.2,3.9
